Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1559     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, std::_Rb_tree_node_base*&, void>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base*&)
  0.00      0.00     0.00      228     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator--()
  0.00      0.00     0.00      142     0.00     0.00  std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**>::_Deque_iterator(std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**> const&)
  0.00      0.00     0.00       71     0.00     0.00  std::deque<TSTNode*, std::allocator<TSTNode*> >::end()
  0.00      0.00     0.00       70     0.00     0.00  bool std::operator==<TSTNode*, TSTNode*&, TSTNode**>(std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**> const&, std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**> const&)
  0.00      0.00     0.00       70     0.00     0.00  bool std::operator!=<TSTNode*, TSTNode*&, TSTNode**>(std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**> const&, std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**> const&)
  0.00      0.00     0.00       60     0.00     0.00  std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**>::operator++(int)
  0.00      0.00     0.00       60     0.00     0.00  std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**>::operator++()
  0.00      0.00     0.00       35     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.00     0.00       25     0.00     0.00  std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
